
=== PHANGS STAT check started 2026-06-11T15:14:42 ===
cube_dir=/scratch/pawsey1308/mauve/cubes/v3tk workers=128 galaxies=NGC4254 NGC4321 NGC4535
[NGC4254] cube=/scratch/pawsey1308/mauve/cubes/v3tk/NGC4254_PHANGS_DATACUBE_native.fits
[NGC4254] STAT shape=(3761, 1190, 1012) fillable_gaps=2090
NGC4254 (x,y)=(704,15) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,15) z=1259:1259 wave=6273.75:6273.75 length=1 reason=bounded_by_positive_values
NGC4254 (x,y)=(706,15) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,16) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,16) z=1258:1259 wave=6272.50:6273.75 length=2 reason=bounded_by_positive_values
NGC4254 (x,y)=(706,16) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,17) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,17) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(706,17) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,18) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,18) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(706,18) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,19) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,19) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(706,19) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,20) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(705,20) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(706,20) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
NGC4254 (x,y)=(704,21) z=1257:1259 wave=6271.25:6273.75 length=3 reason=bounded_by_positive_values
